,Hours_Studied,Attendance,Sleep_Hours,Cluster,Cluster_Name
0,23,84,7,0,C1
1,19,64,8,2,C3
2,24,98,7,0,C1
3,29,89,8,0,C1
4,19,92,6,1,C2
5,19,88,8,0,C1
6,29,84,7,0,C1
7,25,78,6,1,C2
8,17,94,6,1,C2
9,23,98,8,0,C1
10,17,80,8,0,C1
11,17,97,6,1,C2
12,21,83,8,0,C1
13,9,82,8,0,C1
14,10,78,8,0,C1
15,17,68,8,2,C3
16,14,60,10,2,C3
17,22,70,6,2,C3
18,15,80,9,0,C1
19,12,75,7,2,C3
20,29,78,5,1,C2
21,19,99,6,1,C2
22,20,74,8,2,C3
23,11,78,8,0,C1
24,17,65,5,1,C2
25,21,62,6,2,C3
26,13,91,6,1,C2
27,22,83,6,1,C2
28,16,90,4,1,C2
29,18,66,4,1,C2
30,16,83,6,1,C2
31,31,70,7,2,C3
32,20,69,8,2,C3
33,14,60,5,2,C3
34,25,65,5,2,C3
35,13,72,6,1,C2
36,21,65,7,2,C3
37,8,99,9,0,C1
38,12,72,8,2,C3
39,21,65,6,2,C3
40,24,68,8,2,C3
41,21,84,6,1,C2
42,19,63,7,2,C3
43,18,94,7,0,C1
44,11,98,9,0,C1
45,16,70,8,2,C3
46,17,78,6,1,C2
47,26,61,6,2,C3
48,22,86,7,0,C1
49,9,77,5,1,C2
50,22,71,7,2,C3
51,18,68,7,2,C3
52,16,86,8,0,C1
53,24,77,8,2,C3
54,26,67,7,2,C3
55,26,88,5,1,C2
56,15,83,5,1,C2
57,18,94,6,1,C2
58,22,65,8,2,C3
59,26,91,8,0,C1
60,17,87,7,0,C1
61,19,65,10,2,C3
62,13,88,9,0,C1
63,13,78,9,0,C1
64,25,98,8,0,C1
65,28,66,8,2,C3
66,20,86,8,0,C1
67,26,75,4,1,C2
68,22,98,5,1,C2
69,16,73,7,2,C3
70,22,98,7,0,C1
71,29,96,7,0,C1
72,20,71,7,2,C3
73,29,92,4,1,C2
74,4,100,8,0,C1
75,25,70,7,2,C3
76,21,77,7,2,C3
77,18,81,8,0,C1
78,21,72,5,1,C2
79,8,61,7,2,C3
80,19,69,7,2,C3
81,22,71,6,2,C3
82,29,78,4,1,C2
83,17,67,5,1,C2
84,15,95,7,0,C1
85,17,88,7,0,C1
86,25,63,7,2,C3
87,22,86,6,1,C2
88,17,86,5,1,C2
89,23,98,7,0,C1
90,21,60,7,2,C3
91,26,70,8,2,C3
92,16,97,6,1,C2
93,18,97,4,1,C2
94,18,89,4,1,C2
95,11,91,6,1,C2
96,22,64,7,2,C3
97,22,81,7,0,C1
98,20,69,6,2,C3
99,19,67,5,1,C2
100,12,92,4,1,C2
101,17,65,8,2,C3
102,18,79,7,2,C3
103,15,98,6,1,C2
104,19,67,5,1,C2
105,22,99,6,1,C2
106,31,100,7,0,C1
107,21,82,7,0,C1
108,22,67,7,2,C3
109,20,73,9,2,C3
110,8,77,6,1,C2
111,20,72,9,2,C3
112,20,71,7,2,C3
